Compound	HMDB	KEGG	High.Confidence.Annotation	Compound.Name	Retention.Time	m.z	Cluster..if.DA.	Putative.Chemical.Class	Adduct
C18-neg_Cluster_2046: NA	NA	NA	TRUE	NA	9.1156	599.250362	NA	NA	NA
C18-neg_Cluster_2049: NA	NA	NA	TRUE	NA	15.156906	601.442138	NA	NA	NA
C18-neg_Cluster_2050: NA	NA	NA	TRUE	NA	18.948237	601.523195	NA	NA	NA
C18-neg_Cluster_2051: NA	NA	NA	TRUE	NA	7.78965	603.281467	NA	NA	NA
C18-neg_Cluster_2054: NA	NA	NA	TRUE	NA	9.241466	604.193999	NA	NA	NA
C18-neg_Cluster_2055: NA	NA	NA	TRUE	NA	9.701567	604.194226	NA	NA	NA
C18-neg_Cluster_2057: NA	NA	NA	TRUE	NA	15.653829	605.237634	NA	NA	NA
C18-neg_Cluster_2059: NA	NA	NA	TRUE	NA	7.253891	605.297261	NA	NA	NA
C18-neg_Cluster_2061: NA	NA	NA	TRUE	NA	7.900202	605.297717	NA	NA	NA
C18-neg_Cluster_2062: NA	NA	NA	TRUE	NA	16.546418	605.40536	NA	NA	NA
C18-neg_Cluster_2066: NA	NA	NA	TRUE	NA	7.868909	607.311133	NA	NA	NA
C18-neg_Cluster_2069: NA	NA	NA	TRUE	NA	14.630381	607.384372	NA	Steroidal saponins	NA
C18-neg_Cluster_2070: NA	NA	NA	TRUE	NA	16.79117	607.4207	NA	NA	NA
C18-neg_Cluster_2073: NA	NA	NA	TRUE	NA	16.245046	607.493446	NA	Annonaceous acetogenins	NA
C18-neg_Cluster_2074: NA	NA	NA	TRUE	NA	8.770476	608.283696	NA	NA	NA
C18-neg_Cluster_2076: NA	NA	NA	TRUE	NA	12.195626	608.317204	NA	NA	NA
C18-neg_Cluster_2077: NA	NA	NA	TRUE	NA	15.157967	608.525326	NA	NA	NA
C18-neg_Cluster_2078: NA	NA	NA	TRUE	NA	15.269323	608.52475	NA	NA	NA
C18-neg_Cluster_2085: NA	NA	NA	TRUE	NA	18.495372	609.508711	NA	Triacylglycerols	NA
C18-neg_Cluster_2086: NA	NA	NA	TRUE	NA	12.401508	610.245615	NA	NA	NA
C18-neg_Cluster_2087: NA	NA	NA	TRUE	NA	8.072135	610.298926	NA	NA	NA
C18-neg_Cluster_2088: NA	NA	NA	TRUE	NA	9.440072	610.298448	NA	NA	NA
C18-neg_Cluster_2089: NA	NA	NA	TRUE	NA	8.579148	610.298993	NA	NA	NA
C18-neg_Cluster_2091: NA	NA	NA	TRUE	NA	15.156761	610.389628	NA	NA	NA
C18-neg_Cluster_2092: NA	NA	NA	TRUE	NA	18.056525	610.540872	NA	NA	NA
C18-neg_Cluster_2094: NA	NA	NA	TRUE	NA	6.418868	611.284355	NA	NA	NA
C18-neg_Cluster_2097: NA	NA	NA	TRUE	NA	17.188699	611.407857	NA	NA	NA
C18-neg_Cluster_2098: NA	NA	NA	TRUE	NA	14.48579	611.506922	NA	NA	NA
C18-neg_Cluster_2100: NA	NA	NA	TRUE	NA	18.862836	612.520236	NA	NA	NA
C18-neg_Cluster_2102: NA	NA	NA	TRUE	NA	17.732088	614.499198	NA	NA	NA
C18-neg_Cluster_2106: NA	NA	NA	TRUE	NA	13.766507	615.498607	NA	Lineolic acids and derivatives	NA
C18-neg_Cluster_2110: NA	NA	NA	TRUE	NA	12.123856	617.474335	NA	NA	NA
C18-neg_Cluster_2112: NA	NA	NA	TRUE	NA	18.948169	617.510668	NA	NA	NA
C18-neg_Cluster_2115: NA	NA	NA	TRUE	NA	16.297788	619.420428	NA	Triterpenoids	NA
C18-neg_Cluster_2116: NA	NA	NA	TRUE	NA	16.879324	619.420418	NA	Triterpenoids	NA
C18-neg_Cluster_2120: NA	NA	NA	TRUE	NA	17.189518	621.43635	NA	Fatty alcohols	NA
C18-neg_Cluster_2122: NA	NA	NA	TRUE	NA	15.281508	621.545702	NA	1,3-diacylglycerols	NA
C18-neg_Cluster_2123: NA	NA	NA	TRUE	NA	1.353681	622.098134	NA	NA	NA
C18-neg_Cluster_2124: NA	NA	NA	TRUE	NA	9.78298	622.334795	NA	NA	NA
C18-neg_Cluster_2125: NA	NA	NA	TRUE	NA	9.84661	622.333872	NA	NA	NA
C18-neg_Cluster_2131: NA	NA	NA	TRUE	NA	14.169671	623.415573	NA	NA	NA
C18-neg_Cluster_2132: NA	NA	NA	TRUE	NA	17.596482	623.45185	NA	NA	NA
C18-neg_Cluster_2136: NA	NA	NA	TRUE	NA	17.918188	625.478441	NA	NA	NA
C18-neg_Cluster_2137: NA	NA	NA	TRUE	NA	10.961797	626.241072	NA	N-acyl-alpha-hexosamines	NA
C18-neg_Cluster_2138: NA	NA	NA	TRUE	NA	10.03403	626.240517	NA	N-acyl-alpha-hexosamines	NA
C18-neg_Cluster_2139: NA	NA	NA	TRUE	NA	7.327334	626.354153	NA	NA	NA
C18-neg_Cluster_2141: NA	NA	NA	TRUE	NA	8.673217	627.245436	NA	NA	NA
C18-neg_Cluster_2142: NA	NA	NA	TRUE	NA	6.483098	627.286964	NA	NA	NA
C18-neg_Cluster_2144: NA	NA	NA	TRUE	NA	1.355661	628.114935	NA	NA	NA
C18-neg_Cluster_2145: NA	NA	NA	TRUE	NA	15.275699	628.551053	NA	NA	NA
C18-neg_Cluster_2146: NA	NA	NA	TRUE	NA	15.364695	628.551103	NA	NA	NA
C18-neg_Cluster_2148: NA	NA	NA	TRUE	NA	8.293355	629.224854	NA	NA	NA
C18-neg_Cluster_2151: NA	NA	NA	TRUE	NA	16.194326	629.366626	NA	Triterpenoids	NA
C18-neg_Cluster_2153: NA	NA	NA	TRUE	NA	17.148329	629.513894	NA	1,2-diacylglycerols	NA
C18-neg_Cluster_2155: NA	NA	NA	TRUE	NA	6.238773	631.276524	NA	NA	NA
C18-neg_Cluster_2157: NA	NA	NA	TRUE	NA	13.735701	631.493227	NA	NA	NA
C18-neg_Cluster_2158: NA	NA	NA	TRUE	NA	18.494783	631.49105	NA	NA	NA
C18-neg_Cluster_2159: NA	NA	NA	TRUE	NA	11.628762	632.316983	NA	NA	NA
C18-neg_Cluster_2160: NA	NA	NA	TRUE	NA	12.500986	634.332948	NA	NA	NA
C18-neg_Cluster_2162: NA	NA	NA	TRUE	NA	3.046227	635.348061	NA	NA	NA
C18-neg_Cluster_2163: NA	NA	NA	TRUE	NA	14.583961	635.52482	NA	NA	NA
C18-neg_Cluster_2164: NA	NA	NA	TRUE	NA	13.554527	636.34857	NA	NA	NA
C18-neg_Cluster_2165: NA	NA	NA	TRUE	NA	12.251479	639.275775	NA	NA	NA
C18-neg_Cluster_2167: NA	NA	NA	TRUE	NA	14.485583	642.394299	NA	NA	NA
C18-neg_Cluster_2169: NA	NA	NA	TRUE	NA	7.653129	645.292595	NA	NA	NA
C18-neg_Cluster_2170: NA	NA	NA	TRUE	NA	12.482365	645.324586	NA	NA	NA
C18-neg_Cluster_2171: NA	NA	NA	TRUE	NA	16.076038	645.361133	NA	Triterpene saponins	NA
C18-neg_Cluster_2173: NA	NA	NA	TRUE	NA	12.392702	646.295262	NA	NA	NA
C18-neg_Cluster_2174: NA	NA	NA	TRUE	NA	15.267426	646.426075	NA	NA	NA
C18-neg_Cluster_2175: NA	NA	NA	TRUE	NA	15.36421	646.426135	NA	NA	NA
C18-neg_Cluster_2177: NA	NA	NA	TRUE	NA	17.264503	647.426643	NA	NA	NA
C8-pos_Cluster_0001: NA	NA	NA	TRUE	NA	3.888549	200.201008	NA	NA	NA
C8-pos_Cluster_0002: NA	NA	NA	TRUE	NA	4.039427	205.086004	NA	Coumarins and derivatives	NA
C8-pos_Cluster_0004: NA	NA	NA	TRUE	NA	3.907433	211.133195	NA	Alpha-branched alpha,beta-unsaturated ketones	NA
C8-pos_Cluster_0005: NA	NA	NA	TRUE	NA	3.580398	211.169552	NA	Carboxylic acid esters	NA
C8-pos_Cluster_0007: NA	NA	NA	TRUE	NA	3.569681	214.088676	NA	Thiazoles	NA
C8-pos_Cluster_0008: NA	NA	NA	TRUE	NA	3.615178	214.089391	NA	Thiazoles	NA
C8-pos_Cluster_0009: NA	NA	NA	TRUE	NA	3.947287	214.089023	NA	Thiazoles	NA
C8-pos_Cluster_0010: NA	NA	NA	TRUE	NA	4.015154	214.088935	NA	Thiazoles	NA
C8-pos_Cluster_0011: NA	NA	NA	TRUE	NA	4.610906	214.088707	NA	Thiazoles	NA
C8-pos_Cluster_0012: NA	NA	NA	TRUE	NA	4.751392	214.089392	NA	Thiazoles	NA
C8-pos_Cluster_0013: NA	NA	NA	TRUE	NA	4.874772	214.089075	NA	Thiazoles	NA
C8-pos_Cluster_0014: NA	NA	NA	TRUE	NA	4.954686	214.089195	NA	Thiazoles	NA
C8-pos_Cluster_0015: NA	NA	NA	TRUE	NA	5.26791	214.088956	NA	Thiazoles	NA
C8-pos_Cluster_0017: NA	NA	NA	TRUE	NA	5.651287	214.089287	NA	Thiazoles	NA
C8-pos_Cluster_0019: NA	NA	NA	TRUE	NA	6.135122	214.08982	NA	Thiazoles	NA
C8-pos_Cluster_0020: NA	NA	NA	TRUE	NA	6.615724	214.088438	NA	Thiazoles	NA
C8-pos_Cluster_0021: NA	NA	NA	TRUE	NA	6.965719	214.088569	NA	Thiazoles	NA
C8-pos_Cluster_0022: NA	NA	NA	TRUE	NA	7.213863	214.089483	NA	Thiazoles	NA
C8-pos_Cluster_0023: NA	NA	NA	TRUE	NA	7.508299	214.088926	NA	Thiazoles	NA
C8-pos_Cluster_0024: NA	NA	NA	TRUE	NA	7.716422	214.088908	NA	Thiazoles	NA
C8-pos_Cluster_0025: NA	NA	NA	TRUE	NA	8.003032	214.089094	NA	Thiazoles	NA
C8-pos_Cluster_0026: NA	NA	NA	TRUE	NA	8.354992	214.088651	NA	Thiazoles	NA
C8-pos_Cluster_0027: NA	NA	NA	TRUE	NA	8.680054	214.088563	NA	Thiazoles	NA
C8-pos_Cluster_1667: NA	NA	NA	TRUE	NA	10.067853	705.552655	NA	NA	NA
C8-pos_Cluster_1669: NA	NA	NA	TRUE	NA	10.969235	705.613959	NA	Cholesteryl esters	NA
C8-pos_Cluster_1670: NA	NA	NA	TRUE	NA	7.452444	705.577874	NA	NA	NA
C8-pos_Cluster_1672: NA	NA	NA	TRUE	NA	9.555266	706.632082	NA	NA	NA
C8-pos_Cluster_1673: NA	NA	NA	TRUE	NA	11.258479	706.648755	NA	NA	NA
C8-pos_Cluster_1674: NA	NA	NA	TRUE	NA	11.872835	706.649779	NA	NA	NA
C8-pos_Cluster_1676: NA	NA	NA	TRUE	NA	8.092451	707.562589	NA	NA	NA
C8-pos_Cluster_1677: NA	NA	NA	TRUE	NA	8.548353	707.587138	NA	NA	NA
C8-pos_Cluster_1678: NA	NA	NA	TRUE	NA	10.940323	707.626979	NA	NA	NA
C8-pos_Cluster_1679: NA	NA	NA	TRUE	NA	4.532793	708.426369	NA	NA	NA
C8-pos_Cluster_1680: NA	NA	NA	TRUE	NA	8.257454	708.463596	NA	Phosphatidylethanolamines	NA
C8-pos_Cluster_1681: NA	NA	NA	TRUE	NA	5.47804	709.392516	NA	NA	NA
C8-pos_Cluster_1683: NA	NA	NA	TRUE	NA	8.994956	709.50272	NA	NA	NA
C8-pos_Cluster_1684: NA	NA	NA	TRUE	NA	10.986093	709.593993	NA	NA	NA
C8-pos_Cluster_1686: NA	NA	NA	TRUE	NA	4.044001	710.442655	NA	NA	NA
C8-pos_Cluster_1687: NA	NA	NA	TRUE	NA	7.271608	710.531196	NA	NA	NA
C8-pos_Cluster_1688: NA	NA	NA	TRUE	NA	9.282359	711.514189	NA	NA	NA
C8-pos_Cluster_1689: NA	NA	NA	TRUE	NA	10.253858	711.575603	NA	NA	NA
C8-pos_Cluster_1690: NA	NA	NA	TRUE	NA	4.372746	711.515533	NA	NA	NA
C8-pos_Cluster_1692: NA	NA	NA	TRUE	NA	11.873058	711.607233	NA	NA	NA
C8-pos_Cluster_1694: NA	NA	NA	TRUE	NA	6.382948	712.414269	NA	NA	NA
C8-pos_Cluster_1695: NA	NA	NA	TRUE	NA	7.685896	712.551307	NA	NA	NA
C8-pos_Cluster_1696: NA	NA	NA	TRUE	NA	7.963975	712.54974	NA	NA	NA
C8-pos_Cluster_1697: NA	NA	NA	TRUE	NA	11.536192	713.616107	NA	NA	NA
C8-pos_Cluster_1698: NA	NA	NA	TRUE	NA	12.197195	713.620793	NA	NA	NA
C8-pos_Cluster_1699: NA	NA	NA	TRUE	NA	4.364673	713.531727	NA	NA	NA
C8-pos_Cluster_1700: NA	NA	NA	TRUE	NA	7.157209	714.591035	NA	NA	NA
C8-pos_Cluster_1702: NA	NA	NA	TRUE	NA	8.139178	714.553403	NA	Sphingolipids	NA
C8-pos_Cluster_1703: NA	NA	NA	TRUE	NA	8.323099	714.563607	NA	NA	NA
C8-pos_Cluster_1705: NA	NA	NA	TRUE	NA	5.479456	715.407609	NA	NA	NA
C8-pos_Cluster_1706: NA	NA	NA	TRUE	NA	8.844064	715.595829	NA	NA	NA
C8-pos_Cluster_1707: NA	NA	NA	TRUE	NA	11.818776	715.635877	NA	NA	NA
C8-pos_Cluster_1708: NA	NA	NA	TRUE	NA	12.119061	715.584625	NA	NA	NA
C8-pos_Cluster_1709: NA	NA	NA	TRUE	NA	7.352289	716.569004	NA	Sphingolipids	NA
C8-pos_Cluster_1710: NA	NA	NA	TRUE	NA	7.415424	716.558565	NA	1-acyl,2-(1Z-alkenyl)-glycerophosphocholines	NA
C8-pos_Cluster_1711: NA	NA	NA	TRUE	NA	7.742719	716.566438	NA	Sphingolipids	NA
C8-pos_Cluster_1713: NA	NA	NA	TRUE	NA	10.444555	717.600274	NA	Triacylglycerols	NA
C8-pos_Cluster_1714: NA	NA	NA	TRUE	NA	10.874462	717.630862	NA	NA	NA
C8-pos_Cluster_1716: NA	NA	NA	TRUE	NA	7.784073	718.541999	NA	Phosphatidylcholines	NA
C8-pos_Cluster_1717: NA	NA	NA	TRUE	NA	7.948345	718.574349	NA	1-acyl,2-(1Z-alkenyl)-glycerophosphocholines	NA
C8-pos_Cluster_1718: NA	NA	NA	TRUE	NA	8.495687	718.555939	NA	NA	NA
C8-pos_Cluster_1723: NA	NA	NA	TRUE	NA	10.034107	719.595433	NA	NA	NA
C8-pos_Cluster_1724: NA	NA	NA	TRUE	NA	11.062966	719.63078	NA	Cholesteryl esters	NA
C8-pos_Cluster_1725: NA	NA	NA	TRUE	NA	11.161371	719.630358	NA	Cholesteryl esters	NA
C8-pos_Cluster_1729: NA	NA	NA	TRUE	NA	12.095884	720.660614	NA	NA	NA
C8-pos_Cluster_1730: NA	NA	NA	TRUE	NA	7.71049	721.575255	NA	NA	NA
C8-pos_Cluster_1731: NA	NA	NA	TRUE	NA	9.058724	721.592346	NA	NA	NA
C8-pos_Cluster_1735: NA	NA	NA	TRUE	NA	11.126382	721.645178	NA	NA	NA
C8-pos_Cluster_1738: NA	NA	NA	TRUE	NA	10.77066	722.653219	NA	NA	NA
C8-pos_Cluster_1739: NA	NA	NA	TRUE	NA	12.401819	722.678026	NA	NA	NA
C8-pos_Cluster_1740: NA	NA	NA	TRUE	NA	7.689856	723.539047	NA	NA	NA
C8-pos_Cluster_1741: NA	NA	NA	TRUE	NA	11.795708	723.604497	NA	NA	NA
C8-pos_Cluster_1744: NA	NA	NA	TRUE	NA	10.799386	724.678703	NA	NA	NA
C8-pos_Cluster_1746: NA	NA	NA	TRUE	NA	12.092939	725.621056	NA	NA	NA
C8-pos_Cluster_1747: NA	NA	NA	TRUE	NA	8.237938	727.573235	NA	NA	NA
C8-pos_Cluster_1748: NA	NA	NA	TRUE	NA	10.540005	727.619547	NA	1,2-diacylglycerols	NA
C8-pos_Cluster_1749: NA	NA	NA	TRUE	NA	11.872686	727.578471	NA	NA	NA
C8-pos_Cluster_1750: NA	NA	NA	TRUE	NA	12.414665	727.636086	NA	NA	NA
C8-pos_Cluster_1751: NA	NA	NA	TRUE	NA	8.004678	728.527347	NA	NA	NA
C8-pos_Cluster_1752: NA	NA	NA	TRUE	NA	7.227078	729.576901	NA	NA	NA
C8-pos_Cluster_1753: NA	NA	NA	TRUE	NA	9.822567	729.613496	NA	NA	NA
C8-pos_Cluster_1754: NA	NA	NA	TRUE	NA	10.799443	729.634529	NA	1,3-diacylglycerols	NA
C8-pos_Cluster_1756: NA	NA	NA	TRUE	NA	11.944822	730.71686	NA	NA	NA
C8-pos_Cluster_1759: NA	NA	NA	TRUE	NA	13.049572	731.667156	NA	NA	NA
C8-pos_Cluster_1760: NA	NA	NA	TRUE	NA	7.287408	732.546	NA	NA	NA
C8-pos_Cluster_1762: NA	NA	NA	TRUE	NA	8.835898	732.597693	NA	NA	NA
C8-pos_Cluster_1763: NA	NA	NA	TRUE	NA	10.448302	733.579669	NA	NA	NA
C8-pos_Cluster_1765: NA	NA	NA	TRUE	NA	7.215678	734.538797	NA	NA	NA
C8-pos_Cluster_1766: NA	NA	NA	TRUE	NA	7.512325	734.576595	NA	NA	NA
C8-pos_Cluster_1767: NA	NA	NA	TRUE	NA	7.702056	734.53532	NA	NA	NA
C8-pos_Cluster_1769: NA	NA	NA	TRUE	NA	4.367975	735.514267	NA	NA	NA
C8-pos_Cluster_1773: NA	NA	NA	TRUE	NA	5.206559	735.573222	NA	NA	NA
C8-pos_Cluster_1774: NA	NA	NA	TRUE	NA	5.29433	735.573647	NA	NA	NA
C8-pos_Cluster_1775: NA	NA	NA	TRUE	NA	2.829674	736.433199	NA	NA	NA
C8-pos_Cluster_1776: NA	NA	NA	TRUE	NA	7.522067	736.53355	NA	NA	NA
C8-pos_Cluster_1777: NA	NA	NA	TRUE	NA	8.843783	737.554303	NA	NA	NA
C8-pos_Cluster_1778: NA	NA	NA	TRUE	NA	10.688228	737.599894	NA	NA	NA
C8-pos_Cluster_1779: NA	NA	NA	TRUE	NA	5.309438	737.588748	NA	NA	NA
C8-pos_Cluster_1781: NA	NA	NA	TRUE	NA	10.560048	738.661019	NA	NA	NA
C8-pos_Cluster_1782: NA	NA	NA	TRUE	NA	4.882536	739.547858	NA	NA	NA
C8-pos_Cluster_1783: NA	NA	NA	TRUE	NA	5.719991	739.60549	NA	NA	NA
C8-pos_Cluster_1784: NA	NA	NA	TRUE	NA	10.75445	739.542677	NA	NA	NA
C8-pos_Cluster_1786: NA	NA	NA	TRUE	NA	2.598302	740.465055	NA	NA	NA
C8-pos_Cluster_1787: NA	NA	NA	TRUE	NA	2.912068	740.464813	NA	NA	NA
C8-pos_Cluster_1788: NA	NA	NA	TRUE	NA	7.453023	740.522966	NA	Phosphatidylethanolamines	NA
C8-pos_Cluster_1789: NA	NA	NA	TRUE	NA	7.95262	740.566097	NA	NA	NA
C8-pos_Cluster_1792: NA	NA	NA	TRUE	NA	10.292587	741.602823	NA	NA	NA
C8-pos_Cluster_1794: NA	NA	NA	TRUE	NA	7.752398	742.538992	NA	Phosphatidylcholines	NA
C8-pos_Cluster_1796: NA	NA	NA	TRUE	NA	10.294452	742.575837	NA	1-acyl,2-(1Z-alkenyl)-glycerophosphocholines	NA
C8-pos_Cluster_1797: NA	NA	NA	TRUE	NA	8.646481	744.588262	NA	1-(1Z-alkenyl),2-acyl-glycerophosphocholines	NA
C8-pos_Cluster_1798: NA	NA	NA	TRUE	NA	9.875607	745.608407	NA	NA	NA
C8-pos_Cluster_1801: NA	NA	NA	TRUE	NA	8.498641	747.58657	NA	NA	NA
C8-pos_Cluster_1802: NA	NA	NA	TRUE	NA	9.238933	748.610458	NA	NA	NA
C8-pos_Cluster_1805: NA	NA	NA	TRUE	NA	7.707824	750.547957	NA	NA	NA
C8-pos_Cluster_1807: NA	NA	NA	TRUE	NA	8.552254	753.580714	NA	NA	NA
C8-pos_Cluster_1808: NA	NA	NA	TRUE	NA	7.294991	754.5461	NA	NA	NA
C8-pos_Cluster_1809: NA	NA	NA	TRUE	NA	7.848597	754.556001	NA	NA	NA
C8-pos_Cluster_1810: NA	NA	NA	TRUE	NA	11.020216	755.598893	NA	NA	NA
C8-pos_Cluster_1815: NA	NA	NA	TRUE	NA	9.903355	758.221885	NA	Flavonoids	NA
C8-pos_Cluster_1818: NA	NA	NA	TRUE	NA	13.540713	759.697779	NA	NA	NA
C8-pos_Cluster_1819: NA	NA	NA	TRUE	NA	8.645962	760.199791	NA	NA	NA
C8-pos_Cluster_1820: NA	NA	NA	TRUE	NA	9.902397	760.220214	NA	NA	NA
C8-pos_Cluster_1822: NA	NA	NA	TRUE	NA	5.681704	761.42267	NA	NA	NA
C8-pos_Cluster_1824: NA	NA	NA	TRUE	NA	8.644179	762.198807	NA	NA	NA
C8-pos_Cluster_1825: NA	NA	NA	TRUE	NA	9.899378	762.218131	NA	NA	NA
C8-pos_Cluster_1827: NA	NA	NA	TRUE	NA	10.31624	762.693738	NA	NA	NA
C8-pos_Cluster_1828: NA	NA	NA	TRUE	NA	5.27903	763.407558	NA	NA	NA
C8-pos_Cluster_1829: NA	NA	NA	TRUE	NA	8.048653	764.562519	NA	1-acyl,2-(1Z-alkenyl)-glycerophosphocholines	NA
C8-pos_Cluster_1830: NA	NA	NA	TRUE	NA	8.959427	764.573085	NA	NA	NA
C8-pos_Cluster_1831: NA	NA	NA	TRUE	NA	6.133493	765.453488	NA	NA	NA
C8-pos_Cluster_1832: NA	NA	NA	TRUE	NA	9.263793	765.584201	NA	NA	NA
C8-pos_Cluster_1834: NA	NA	NA	TRUE	NA	8.414774	766.56232	NA	NA	NA
C8-pos_Cluster_1836: NA	NA	NA	TRUE	NA	11.306789	766.648746	NA	NA	NA
C8-pos_Cluster_1840: NA	NA	NA	TRUE	NA	12.318318	767.724988	NA	NA	NA
C8-pos_Cluster_1841: NA	NA	NA	TRUE	NA	4.358012	767.582227	NA	NA	NA
C8-pos_Cluster_1843: NA	NA	NA	TRUE	NA	12.319927	768.225708	NA	NA	NA
C8-pos_Cluster_1847: NA	NA	NA	TRUE	NA	9.928496	768.666517	NA	NA	NA
C8-pos_Cluster_1850: NA	NA	NA	TRUE	NA	6.133644	771.472105	NA	NA	NA
C8-pos_Cluster_1851: NA	NA	NA	TRUE	NA	11.306923	771.60389	NA	NA	NA
C8-pos_Cluster_1859: NA	NA	NA	TRUE	NA	9.928801	773.62087	NA	NA	NA
C8-pos_Cluster_1862: NA	NA	NA	TRUE	NA	8.679834	774.599945	NA	Phosphatidylcholines	NA
C8-pos_Cluster_1863: NA	NA	NA	TRUE	NA	9.101588	774.571743	NA	NA	NA
C8-pos_Cluster_1864: NA	NA	NA	TRUE	NA	9.359335	775.641658	NA	NA	NA
C8-pos_Cluster_1865: NA	NA	NA	TRUE	NA	4.748121	775.585231	NA	NA	NA
C8-pos_Cluster_1866: NA	NA	NA	TRUE	NA	7.86651	776.23193	NA	NA	NA
C8-pos_Cluster_1869: NA	NA	NA	TRUE	NA	7.865567	778.230419	NA	NA	NA
C8-pos_Cluster_1870: NA	NA	NA	TRUE	NA	8.68532	779.571255	NA	NA	NA
C8-pos_Cluster_1871: NA	NA	NA	TRUE	NA	8.337407	780.549694	NA	Phosphatidylcholines	NA
C8-pos_Cluster_1875: NA	NA	NA	TRUE	NA	8.640636	782.566046	NA	Phosphatidylcholines	NA
C8-pos_Cluster_1877: NA	NA	NA	TRUE	NA	5.480678	783.395875	NA	NA	NA
C8-pos_Cluster_1878: NA	NA	NA	TRUE	NA	6.187902	784.47892	NA	NA	NA
C8-pos_Cluster_1881: NA	NA	NA	TRUE	NA	9.58529	784.655096	NA	Sphingolipids	NA
C8-pos_Cluster_1882: NA	NA	NA	TRUE	NA	4.358224	785.593462	NA	NA	NA
C8-pos_Cluster_1887: NA	NA	NA	TRUE	NA	10.726931	787.578185	NA	NA	NA
C8-pos_Cluster_1891: NA	NA	NA	TRUE	NA	9.583887	789.622188	NA	NA	NA
C8-pos_Cluster_1892: NA	NA	NA	TRUE	NA	9.930124	789.593737	NA	NA	NA
C8-pos_Cluster_1893: NA	NA	NA	TRUE	NA	10.831086	789.593206	NA	NA	NA
C8-pos_Cluster_1896: NA	NA	NA	TRUE	NA	9.083884	790.612176	NA	NA	NA
C8-pos_Cluster_1897: NA	NA	NA	TRUE	NA	7.737382	791.61547	NA	NA	NA
C8-pos_Cluster_1898: NA	NA	NA	TRUE	NA	9.177112	791.602033	NA	NA	NA
C8-pos_Cluster_1901: NA	NA	NA	TRUE	NA	8.557287	792.593586	NA	NA	NA
C8-pos_Cluster_1908: NA	NA	NA	TRUE	NA	7.21768	795.699413	NA	NA	NA
C8-pos_Cluster_1910: NA	NA	NA	TRUE	NA	10.873363	795.630865	NA	Ubiquinones	NA
C8-pos_Cluster_1913: NA	NA	NA	TRUE	NA	7.626533	797.517523	NA	NA	NA
C8-pos_Cluster_1914: NA	NA	NA	TRUE	NA	4.748572	797.56638	NA	NA	NA
C8-pos_Cluster_1916: NA	NA	NA	TRUE	NA	6.166508	797.663239	NA	NA	NA
C8-pos_Cluster_1917: NA	NA	NA	TRUE	NA	12.104733	797.736091	NA	NA	NA
C8-pos_Cluster_1919: NA	NA	NA	TRUE	NA	6.405714	798.495912	NA	NA	NA
C8-pos_Cluster_1920: NA	NA	NA	TRUE	NA	5.892949	798.587559	NA	NA	NA
C8-pos_Cluster_1921: NA	NA	NA	TRUE	NA	7.928033	799.533647	NA	NA	NA
C8-pos_Cluster_1923: NA	NA	NA	TRUE	NA	6.175143	799.678251	NA	NA	NA
C8-pos_Cluster_1925: NA	NA	NA	TRUE	NA	6.120193	800.603097	NA	NA	NA
C8-pos_Cluster_1926: NA	NA	NA	TRUE	NA	6.583186	800.512762	NA	NA	NA
C8-pos_Cluster_1928: NA	NA	NA	TRUE	NA	7.026818	801.551841	NA	NA	NA
C8-pos_Cluster_1929: NA	NA	NA	TRUE	NA	8.232782	801.554329	NA	NA	NA
C8-pos_Cluster_1933: NA	NA	NA	TRUE	NA	9.316177	802.670837	NA	1-acyl,2-(1Z-alkenyl)-glycerophosphocholines	NA
C8-pos_Cluster_1935: NA	NA	NA	TRUE	NA	4.35743	802.618636	NA	NA	NA
C8-pos_Cluster_1936: NA	NA	NA	TRUE	NA	5.902326	803.542205	NA	NA	NA
C8-pos_Cluster_1937: NA	NA	NA	TRUE	NA	9.906822	803.598166	NA	NA	NA
C8-pos_Cluster_1938: NA	NA	NA	TRUE	NA	9.017298	804.582233	NA	NA	NA
C8-pos_Cluster_1939: NA	NA	NA	TRUE	NA	12.711942	805.235082	NA	NA	NA
C8-pos_Cluster_1941: NA	NA	NA	TRUE	NA	8.825128	805.584156	NA	NA	NA
C8-pos_Cluster_1943: NA	NA	NA	TRUE	NA	11.340924	805.66137	NA	NA	NA
C8-pos_Cluster_1944: NA	NA	NA	TRUE	NA	10.090815	805.683369	NA	Polyprenylphenols	NA
C8-pos_Cluster_1945: NA	NA	NA	TRUE	NA	12.711758	805.735134	NA	NA	NA
C8-pos_Cluster_1946: NA	NA	NA	TRUE	NA	8.495995	806.567673	NA	Phosphatidylcholines	NA
C8-pos_Cluster_1948: NA	NA	NA	TRUE	NA	7.02835	806.508365	NA	NA	NA
C8-pos_Cluster_1949: NA	NA	NA	TRUE	NA	9.154418	807.628842	NA	NA	NA
C8-pos_Cluster_1950: NA	NA	NA	TRUE	NA	4.35879	807.574297	NA	NA	NA
C8-pos_Cluster_1951: NA	NA	NA	TRUE	NA	11.454493	807.604398	NA	NA	NA
C8-pos_Cluster_1952: NA	NA	NA	TRUE	NA	8.801452	808.581433	NA	Phosphatidylcholines	NA
C8-pos_Cluster_1955: NA	NA	NA	TRUE	NA	12.015943	809.735561	NA	NA	NA
C8-pos_Cluster_1957: NA	NA	NA	TRUE	NA	9.069935	810.599262	NA	Phosphatidylcholines	NA
